Time (sec),Rate μcal/sec
2281,-0.0011140907703012196
2282,-0.001013613155699191
2283,-0.0009329240857417466
2284,-0.0009423828302763978
2285,-0.0009518415748110491
2286,-0.0009613003193457002
2287,-0.0009707590638803514
2288,-0.0009802178084150025
2289,-0.0009867573841190662
2290,-0.0009475633148105471
2291,-0.000908369245502028
2292,-0.0008691751761935089
2293,-0.0008299811068849899
2294,-0.0007907870375764707
2295,-0.0007527629981202093
2296,-0.0007127831545408866
2297,-0.0006739733408138214
2298,-0.0006351635270867563
2299,-0.0005963537133596912
2300,-0.000557543899632626
2301,-0.0005187340859055608
2302,-0.00046480637574448225
2303,-0.00040881713425148597
2304,-0.0003528278927584897
2305,-0.0002968386512654934
2306,-0.00024084940977249714
2307,-0.00018486016827950086
2308,-0.00016119687172503393
2309,-0.00014462951430342885
2310,-0.00012806215688182377
2311,-0.0001114947994602187
2312,-9.492744203861363e-05
2313,-7.836008461700855e-05
2314,-8.409565202129506e-05
2315,-9.687424831797752e-05
2316,-0.00010965284461465998
2317,-0.00012243144091134242
2318,-0.00013521003720802488
2319,-0.00014798863350470734
2320,-0.00012357979610127447
2321,-7.825302724155646e-05
2322,-3.292625838183846e-05
2323,1.2400510477879548e-05
2324,5.772727933759754e-05
2325,0.00010305404819731553
2326,0.00012963848134608534
2327,0.00014265087829039665
2328,0.000155663275234708
2329,0.0001686756721790193
2330,0.00018168806912333065
2331,0.00019470046606764193
2332,0.00020355506783110324
